Protein	S.cerevisiae	A.fumigatus	C.neoformans	C.parapsilosis	F.graminearum	S.bayanus	L.kluyveri	S.mikatae	S.paradoxus	M.oryzae	N.crassa	S.pombe	A.nidulans	C.glabrata	C.albicans	N.castellii	N.discreta	N.tetrasperma	S.kudriavzevii
NP_014671.1	-0.454305759819	NA	NA	NA	NA	NA	-0.370093029108	-1.6688175150799998	-0.6286672086689999	NA	NA	NA	NA	NA	NA	-3.44130777635	NA	NA	-0.937174664611
NP_010373.3	-0.590985189953	0.129254311633	-0.0490026885993	-0.256434100621	0.48083689751500003	-0.42872186183399996	-0.746431925996	-0.711967106983	-0.5083144231260001	0.372196391467	0.221750359851	-0.0857266489845	-0.130500057426	-0.415340498297	-0.540320889441	-0.47435558131899996	0.138583287181	0.359737891271	-0.803874336903
NP_012890.1	-0.31726493657	-0.0210396324087	-0.8564922362630001	0.026564241156700003	0.0869016779174	-0.0609516975884	-0.646892248355	-0.337298674586	-0.376078760617	-0.036714568248800004	0.104996545479	-0.566778436403	0.203938692353	-0.0997295678968	0.18933292555	-0.335636836239	-0.0596919026038	-0.143926023161	-0.142541079905
NP_013302.1	0.311243764142	1.31019862024	NA	1.54901866542	0.639595745752	0.411221658088	0.664911501698	0.720680188148	0.834264300164	1.4090734183700002	1.27846287061	-0.13453110662999998	1.1052137564	1.1356523546100001	1.1734819965899999	0.640007552606	NA	1.002676469	0.421390965372
NP_010280.1	1.5570169541299999	2.0257355326199997	2.32595300217	2.18421245188	1.94066136961	1.31553703263	2.10049028709	1.10921973971	1.13600835207	1.75559965852	2.1591147464800002	1.00593290466	1.5873688056200002	0.575883158715	1.66381683586	0.7042846949670001	2.05606664262	1.69383439352	1.08517937516
NP_010332.3	0.632573514289	0.857603267408	0.9506815917929999	0.5943369318999999	0.832067463497	0.508553882446	1.09576078212	0.280059457728	0.70140306029	0.7748409023	0.43857768793799995	0.6436428706639999	0.41569160644599995	0.4547444969899999	0.135517230159	0.751109741542	0.8670781678839999	0.396500038432	0.634678863151
NP_015513.1	1.57382844693	0.748611426182	1.08377618044	1.2287821590999999	1.12346071495	1.0817241997700002	1.3295321362	1.0481676857200002	1.25363910236	0.704658712956	0.781914332292	1.27834459245	0.733941348251	0.552300711688	1.07361276115	1.13607844761	0.774858928056	0.999931645519	0.970912207576
NP_012598.1	0.821353387972	0.700265771973	1.42745633268	0.856716983696	0.809297999838	0.8746563780850001	0.745775961819	0.9451584454449999	0.911942247887	0.7143106696670001	0.8946525762109999	0.8348031670720001	0.6131052313300001	0.07360315418789999	0.543844548909	0.898015743323	0.771244600268	0.826240591059	0.954108149932
NP_010405.3	0.0695957762857	-0.319204774521	0.223463203308	-0.20746377680599998	-0.178781465907	0.42570853990199997	0.065722079408	0.216112198497	0.281681702983	-0.219697281734	-0.335461312589	-0.00956940045983	-0.480252628261	-0.45490655316100004	-0.136190806704	0.273239160757	-0.877954370906	-0.417978861448	0.0696919799702
NP_014839.1	0.0818898267829	0.45467146806100006	0.373265938711	1.23460855684	0.607734257536	0.00915445126449	0.656858373849	-0.18956931110300002	0.21744391482099998	0.24315861333500002	0.360605571017	0.260350122494	0.407512271022	0.42805374452699996	0.704971879011	-0.18649781515799999	0.7161294648019999	0.92426967251	-0.116271006157
